brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Etoshine 90,Etoricoxib,Etoricoxib,Arthritis pain,Edema; Hypertension risk,95.0,Sun Pharmaceutical,Not for heart disease patients,90 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Ferrous Sulfate 200,Ferrous Sulfate,Ferrous Sulfate,Iron deficiency anemia,Constipation; Nausea; Black stools,22.0,Generic,Take on empty stomach if tolerated,200 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Iron Folic Acid,Ferrous Sulfate + Folic Acid,Iron + Folic Acid,Anemia,Constipation; Stomach upset; Dark stools,18.0,Generic,Take with vitamin C for better absorption,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Allegra 120,Fexofenadine,Fexofenadine,Allergic rhinitis,Headache; Nausea,110.0,Sanofi,Non-sedating; avoid fruit juices,120 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,फेक्सोफेनाडीन
Fluconazole 150,Fluconazole,Fluconazole,Fungal infections,Nausea; Headache; Liver effects,28.0,Generic,Single dose for vaginal yeast infections,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zocon 150,Fluconazole,Fluconazole,Fungal infections,Stomach pain; Rash,32.0,FDC,Liver monitoring with prolonged use,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Fluoxetine 20,Fluoxetine,Fluoxetine,Depression and OCD,Nausea; Insomnia; Sexual dysfunction,35.0,Generic,Takes 2-4 weeks to work,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Fludac 20,Fluoxetine,Fluoxetine,Depression and OCD,Headache; Nervousness,38.0,Zydus Cadila,Regular psychiatric follow-up,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Prozac 20,Fluoxetine,Fluoxetine,Depression and OCD,Anxiety; Weight changes,85.0,Eli Lilly,Do not stop abruptly,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Azeflo Nasal Spray,Fluticasone + Azelastine,Fluticasone + Azelastine,Allergic rhinitis nasal spray,Nasal irritation; Dryness,295.0,Cipla,Use as directed; Not for children,Unknown,Spray,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Folic Acid 5mg,Folic Acid,Folic Acid,Folate deficiency and pregnancy,Rare allergic reactions,12.0,Generic,Important during pregnancy,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Folvite 5mg,Folic Acid,Folic Acid,Folate deficiency and pregnancy,Minimal side effects,15.5,Abbott,Daily supplementation,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Foracort 200 Inhaler,Formoterol + Budesonide,Formoterol + Budesonide,Asthma maintenance,Tremors; Oral thrush,410.0,Cipla,Rinse mouth after use,200 mg,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Lasix 40,Furosemide,Furosemide,Edema and hypertension,Electrolyte imbalance; Dehydration,28.0,Sanofi,Monitor electrolytes,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Gabapin 300,Gabapentin,Gabapentin,Nerve pain; Seizures,Drowsiness; Dizziness,105.0,Intas,Do not stop suddenly,300G,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Diamicron MR 60,Gliclazide,Gliclazide,Type 2 Diabetes,Hypoglycemia; Weight gain,85.0,Serdia,Take with breakfast,60G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Glimepiride 1mg,Glimepiride,Glimepiride,Type 2 Diabetes,Hypoglycemia; Weight gain,25.0,Generic,Take before breakfast,1MG,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",ग्लाइमेपिराइड
Amaryl 1mg,Glimepiride,Glimepiride,Type 2 Diabetes,Low blood sugar,32.0,Sanofi,Monitor blood glucose regularly,1MG,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",ग्लाइमेपिराइड
Amaryl M 1/500,Glimepiride + Metformin,Glimepiride + Metformin,Type 2 Diabetes,Low sugar; GI upset,115.0,Sanofi,Take with meals,500G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Insulatard,Human Insulin (NPH),Human Insulin (NPH),Diabetes insulin therapy,Hypoglycemia; Injection site reactions,420.0,Novo Nordisk,Store in fridge,100 IU/ml,Injection,False,H,adult,Dose changes with renal/hepatic impairment; check glucose closely.,Hypoglycemia.,मानव इंसुलिन
Actrapid,Human Insulin (Regular),Human Insulin (Regular),Diabetes insulin therapy,Hypoglycemia; Injection site reactions,410.0,Novo Nordisk,Store in fridge,100 IU/ml,Injection,False,H,adult,Dose changes with renal/hepatic impairment; check glucose closely.,Hypoglycemia.,मानव इंसुलिन
Hydrochlorothiazide 12.5,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension; Edema,Frequent urination; Low potassium,24.0,Generic,Take in morning,12.5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Hydrocortisone Cream,Hydrocortisone,Hydrocortisone,Skin inflammation,Skin thinning with prolonged use,45.0,Generic,Apply thin layer,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Buscopan,Hyoscine Butylbromide,Hyoscine Butylbromide,Abdominal cramps,Dry mouth; Blurred vision,45.0,Sanofi,Avoid driving if drowsy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ibugesic,Ibuprofen,Ibuprofen,Pain relief and inflammation,Nausea; Stomach pain,38.0,Cipla,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Brufen,Ibuprofen,Ibuprofen,Pain relief and inflammation,Stomach upset; Dizziness; Headache,42.0,Abbott,Take with food; Avoid if stomach ulcers,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Combiflam,Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Pain and fever relief,Stomach upset; Dizziness,28.0,Sanofi,Do not use for more than 3 days without consulting doctor,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Brufen Plus,Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Pain and fever relief,Nausea; Stomach discomfort,32.5,Abbott,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Basaglar,Insulin Glargine,Insulin Glargine,Diabetes insulin therapy,Hypoglycemia; Injection site reactions,780.0,Eli Lilly,Store in fridge,100 IU/ml,Injection,False,H,adult,Hypoglycemia with other antidiabetics; adjust with steroids/illness.,Hypoglycemia.,इंसुलिन ग्लार्जिन
Lantus,Insulin Glargine,Insulin Glargine,Diabetes long-acting,Low blood sugar; Injection site reaction,785.0,Sanofi,Store in fridge,Unknown,Tablet,False,H,adult,Hypoglycemia with other antidiabetics; adjust with steroids/illness.,Hypoglycemia.,इंसुलिन ग्लार्जिन
Apidra,Insulin Glulisine,Insulin Glulisine,Diabetes insulin therapy,Hypoglycemia; Injection site reactions,860.0,Sanofi,Store in fridge,100 IU/ml,Injection,False,H,adult,,,इंसुलिन
Feroglobin,Iron + Vitamins,Iron Complex,Anemia and fatigue,Stomach discomfort,125.0,Vitabiotics,Take with orange juice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Isotroin 20,Isotretinoin,Isotretinoin,Severe acne,Dryness; Teratogenic,185.0,Cipla,Strict pregnancy prevention,20 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Itopride 50,Itopride,Itopride,Acid reflux with bloating,Diarrhea; Rash,78.0,Abbott,Avoid in GI bleeding,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ganaton 50,Itopride,Itopride,Functional dyspepsia,Abdominal discomfort,82.0,Abbott,Take before meals,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Canditral 100,Itraconazole,Itraconazole,Fungal infections,Stomach upset; Rash,225.0,Glenmark,Take with food,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ketoconazole Shampoo,Ketoconazole,Ketoconazole,Dandruff and scalp infections,Scalp irritation; Hair texture changes,225.0,Generic,Use twice weekly,Unknown,Shampoo,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Nizral Shampoo,Ketoconazole,Ketoconazole,Dandruff and scalp infections,Dryness; Oiliness changes,245.0,Johnson & Johnson,Leave on for 5 minutes,Unknown,Shampoo,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Sporolac Sachet,Lactobacillus,Lactobacillus,Probiotic support,Rare side effects,20.0,Uni Sankyo,Add to water/milk,Unknown,Sachet,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Darolac Sachet,Lactobacillus,Lactobacillus,Probiotic for diarrhea,Rare gas; Bloating,22.0,Aristo,Store in cool dry place,Unknown,Sachet,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Duphalac Syrup,Lactulose,Lactulose,Constipation,Bloating; Gas,145.0,Abbott,Adjust dose to 2-3 soft stools/day,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Levocet 5,Levocetirizine,Levocetirizine,Allergy relief,Drowsiness (mild),48.0,Cipla,Avoid alcohol,5 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,लेवोसेटिरीज़ीन
Xyzal 5,Levocetirizine,Levocetirizine,Allergies and hives,Somnolence; Dry mouth,62.0,Dr. Reddy's Laboratories,Bedtime dosing preferred,5 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,लेवोसेटिरीज़ीन
Levoflox 500,Levofloxacin,Levofloxacin,Bacterial infections,Dizziness; Tendon problems,95.0,Cipla,Avoid strenuous exercise,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Levaquin 500,Levofloxacin,Levofloxacin,Respiratory/UTI infections,Insomnia; Nausea,165.0,Johnson & Johnson,Risk of tendinitis,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
i-Pill 1.5,Levonorgestrel,Levonorgestrel,Emergency contraception,Nausea; Irregular bleeding,110.0,Piramal,Use within 72 hours,1.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Levolin Neb,Levosalbutamol,Levosalbutamol,Bronchospasm (nebulization),Tremors; Palpitations,18.0,Cipla,Use with nebulizer as directed,0.63 mg/2.5 ml,Nebulizer Solution,False,H,both,Additive effects with other sympathomimetics; caution with MAOIs.,Severe hypersensitivity to albuterol derivatives.,लीवोसल्बुटामोल
Levosal Neb,Levosalbutamol,Levosalbutamol,Bronchospasm (nebulization),Tremors; Palpitations,18.0,Cipla,Use with nebulizer as directed,0.63 mg/2.5 ml,Nebulizer Solution,False,H,both,Additive effects with other sympathomimetics; caution with MAOIs.,Severe hypersensitivity to albuterol derivatives.,लीवोसल्बुटामोल
Xovent Neb,Levosalbutamol,Levosalbutamol,Bronchospasm (nebulization),Tremors; Palpitations,18.0,Cipla,Use with nebulizer as directed,0.63 mg/2.5 ml,Nebulizer Solution,False,H,both,Additive effects with other sympathomimetics; caution with MAOIs.,Severe hypersensitivity to albuterol derivatives.,लीवोसल्बुटामोल
Thyrox 25,Levothyroxine,Levothyroxine,Hypothyroidism,Palpitations; Insomnia,18.0,Abbott,Take on empty stomach in morning,25 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Levothyroxine 50,Levothyroxine,Levothyroxine,Hypothyroidism,Heart palpitations; Weight loss,22.0,Generic,Take on empty stomach in morning,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Thyronorm 50,Levothyroxine,Levothyroxine,Hypothyroidism,Hair loss (temporary),25.5,Abbott,Regular thyroid testing needed,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Eltroxin 50,Levothyroxine,Levothyroxine,Hypothyroidism,Nervousness; Insomnia,28.0,Aspen,Consistent daily timing crucial,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Thyrox 100,Levothyroxine,Levothyroxine,Hypothyroidism,Headache; Nervousness,32.0,Abbott,Consistent daily timing crucial,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zyvox 600,Linezolid,Linezolid,Resistant bacterial infections,Headache; Nausea,780.0,Pfizer,Monitor blood counts,600 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Lisicard 5,Lisinopril,Lisinopril,Hypertension,Dry cough; Dizziness,48.0,Micro Labs,Avoid potassium supplements,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Loratadine 10,Loratadine,Loratadine,Allergies,Dry mouth; Headache,12.0,Generic,Non-sedating antihistamine,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clarityn 10,Loratadine,Loratadine,Allergies,Minimal side effects,35.0,Schering-Plough,Take on empty stomach,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Lorazepam 1mg,Lorazepam,Lorazepam,Anxiety disorders,Sedation; Weakness,22.0,Generic,Short-term use recommended,1MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ativan 1mg,Lorazepam,Lorazepam,Anxiety disorders,Confusion; Depression,45.0,Pfizer,Avoid prolonged use,1MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Losar 50,Losartan,Losartan,High blood pressure,Dizziness; Back pain,75.0,Torrent,Check potassium regularly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Losartan-H 50/12.5,Losartan + HCTZ,Losartan + Hydrochlorothiazide,Hypertension combo,Frequent urination; Dizziness,98.0,Torrent,Take in morning,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Digene Tablet,Magnesium + Aluminium Hydroxide + Simethicone,Antacid combo,Acidity; Gas relief,Constipation/Diarrhea (mild),42.0,Abbott,Chew before swallowing,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Colospa 135,Mebeverine,Mebeverine,IBS cramps,Dizziness; Nausea,88.0,Abbott,Swallow whole; do not crush,135 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Meftal 500,Mefenamic Acid,Mefenamic Acid,Pain and menstrual cramps,Stomach upset; Dizziness,46.0,Blue Cross,Avoid in ulcer disease,500 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Meftal-Spas,Mefenamic Acid + Dicyclomine,Mefenamic Acid + Dicyclomine,Menstrual cramps; Abdominal pain,Nausea; Dry mouth,58.0,Blue Cross,Avoid in ulcers,Unknown,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Zandu Balm,Menthol + Methyl Salicylate + Gaultheria oil,Topical analgesic,Headache; Body pain relief,Skin irritation (rare),40.0,Emami,External use only,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Metformin 500,Metformin,Metformin,Type 2 Diabetes,Nausea; Diarrhea; Stomach upset,12.0,Generic,Take with meals,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Glycomet 500,Metformin,Metformin,Type 2 Diabetes,Diarrhea; Metallic taste,13.5,USV Limited,Start with low dose,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Glucophage 500,Metformin,Metformin,Type 2 Diabetes,Stomach issues; Lactic acidosis (rare),15.5,Merck,Regular blood sugar monitoring needed,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Glycomet SR 1000,Metformin SR,Metformin,Type 2 Diabetes GI control,Diarrhea; Nausea,38.0,USV Limited,Take with dinner,1000 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Met XL 50,Metoprolol Succinate,Metoprolol,Hypertension; Angina,Fatigue; Slow heart rate,85.0,Sun Pharmaceutical,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Flagyl 400,Metronidazole,Metronidazole,Amebiasis; Giardiasis,Metallic taste; Nausea,32.0,Sanofi,Avoid alcohol completely,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Multivitamin Tablet,Mixed Vitamins & Minerals,Multivitamin,General health and nutrition,Rare allergic reactions,45.0,Generic,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Montelukast 10,Montelukast,Montelukast,Asthma and allergies,Headache; Mood changes,85.0,Generic,Evening dose recommended,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Montair 10,Montelukast,Montelukast,Asthma and allergies,Stomach pain; Diarrhea,92.0,Cipla,Not for acute asthma attacks,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Singulair 10,Montelukast,Montelukast,Asthma and allergies,Fatigue; Dizziness,165.0,Merck,Regular respiratory monitoring,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Levmont Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Montair-LC,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis and asthma,Headache; Drowsiness,165.0,Cipla,Evening dose recommended,Unknown,Tablet,False,H,adult,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,
Montair-LC Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Montelast-LC Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Revital H,Multivitamins + Ginseng,Multivitamin Complex,Energy and vitality,Minimal side effects,285.0,Sun Pharmaceutical,Take after breakfast,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Supradyn,Multivitamins + Minerals,Multivitamin Complex,Overall health,Rare stomach upset,425.0,Bayer,Complete daily nutrition,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zincovit,Multivitamins + Zinc,Multivitamin + Minerals,Immunity and health,Nausea (if taken empty stomach),135.0,Apex Laboratories,Take with meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
T-Bact Cream,Mupirocin,Mupirocin,Skin infections,Local irritation (mild),90.0,GlaxoSmithKline,External use only,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
T-Bact Ointment,Mupirocin,Mupirocin,Skin bacterial infection,Local irritation (mild),95.0,GlaxoSmithKline,External use only,Unknown,Ointment,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Naprosyn 250,Naproxen,Naproxen,Pain and menstrual cramps,Stomach upset; Drowsiness,48.0,Dr. Reddy's Laboratories,Take with food,250 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Niftas 100,Nitrofurantoin,Nitrofurantoin,UTI treatment,Nausea; Headache,88.0,Intas,Take with food; Avoid in late pregnancy,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Norflox 400,Norfloxacin,Norfloxacin,Urinary tract infections,Nausea; Headache,38.0,Cipla,Take on empty stomach,400 mg,Tablet,False,H,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
ORS-L 200ml,ORS + Zinc,Oral Rehydration + Zinc,Diarrhea in children,None significant,35.0,Generic,Use as per pediatric advice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Oflox 200,Ofloxacin,Ofloxacin,Bacterial infections,Dizziness; Nausea,62.0,Cipla,Avoid sun exposure,200 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Oliza 5,Olanzapine,Olanzapine,Schizophrenia; Bipolar,Weight gain; Drowsiness,92.0,Intas,Monitor sugars and lipids,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Omeprazole 20,Omeprazole,Omeprazole,Acidity and ulcers,Diarrhea; Stomach pain,28.0,Generic,Long-term use needs doctor supervision,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Omez,Omeprazole,Omeprazole,Acidity and ulcers,Headache; Nausea,32.0,Dr. Reddy's Laboratories,Take before breakfast,Unknown,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Ondem 4,Ondansetron,Ondansetron,Nausea and vomiting,Headache; Constipation,42.0,Alkem,May cause QT prolongation,4 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
ORS Powder,Oral Rehydration Salts,ORS,Dehydration; Diarrhea support,None if taken as directed,20.0,WHO Formulation,Use safe drinking water,Unknown,Powder,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
ORS Electral,Oral Rehydration Salts,ORS,Dehydration support,None significant,22.0,FDC,Use boiled and cooled water,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Tamiflu 75,Oseltamivir,Oseltamivir,Influenza treatment,Nausea; Vomiting,485.0,Hoffmann-La Roche,Start within 48 hours,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Pan 40,Pantoprazole,Pantoprazole,Acid reflux and GERD,Dizziness; Stomach pain,38.5,Alkem Laboratories,Morning dose recommended,40 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pantoprazole 40,Pantoprazole,Pantoprazole,Acid reflux and GERD,Headache; Diarrhea,42.0,Generic,Take before meals,40 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pantocid,Pantoprazole,Pantoprazole,Acid reflux and GERD,Rare side effects,45.0,Sun Pharmaceutical,Take 30 mins before meals,Unknown,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pan-D,Pantoprazole + Domperidone,Pantoprazole + Domperidone,Acidity with nausea,Headache; Diarrhea,85.0,Alkem,Take before meals,Unknown,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pyrigesic,Paracetamol,Paracetamol,Fever and pain relief,Rare allergic reactions,18.5,Intas Pharmaceuticals,Avoid overdose,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Metacin,Paracetamol,Paracetamol,Fever and pain relief,Minimal side effects,22.0,Mankind Pharma,Safe for most adults,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Crocin,Paracetamol,Paracetamol,Fever and pain relief,Nausea; Skin rash; Liver damage (overdose),25.5,GlaxoSmithKline,Do not exceed 4g per day; Avoid alcohol,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Dolo 650,Paracetamol,Paracetamol,Fever and pain relief,Nausea; Allergic reactions,30.0,Micro Labs,Consult doctor if pregnant; Avoid with alcohol,650 mg,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Calpol,Paracetamol,Paracetamol,Fever and pain relief for children,Rare allergic reactions,35.0,GlaxoSmithKline,Follow age-appropriate dosing,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Sinarest-AF Drops,Paracetamol + Phenylephrine + CPM,Paracetamol + Phenylephrine + Chlorpheniramine,Cold relief for kids,Drowsiness; Irritability,35.0,Piramal,Pediatric dosing only,Unknown,Drops,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
