brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Calcium Sandoz,Calcium Lactate Gluconate,Calcium Lactate Gluconate,Calcium supplementation,Stomach upset,95.0,Novartis,Dissolve in water,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Calcium Lactate Gluconate,Calcium Lactate Gluconate,Calcium Lactate Gluconate,Calcium supplementation,Stomach upset,71.25,Generic Manufacturer,Dissolve in water,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Calcium Lactate Gluconate,Calcium Lactate Gluconate,Calcium Lactate Gluconate,Calcium supplementation,Stomach upset,61.75,Local Pharmacy,Dissolve in water,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Carloc 6.25,Carvedilol,Carvedilol,Hypertension; Heart failure,Dizziness; Hypotension,66.0,Cipla,Take with food,6.25 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Generic Carvedilol,Carvedilol,Carvedilol,Hypertension; Heart failure,Dizziness; Hypotension,49.5,Generic Manufacturer,Take with food,6.25 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Carvedilol,Carvedilol,Carvedilol,Hypertension; Heart failure,Dizziness; Hypotension,42.9,Local Pharmacy,Take with food,6.25 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Generic Cefixime,Cefixime,Cefixime,Respiratory/UTI infections,Diarrhea; Rash,123.75,Generic Manufacturer,Complete full course,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Local Pharmacy Cefixime,Cefixime,Cefixime,Respiratory/UTI infections,Diarrhea; Rash,107.25,Local Pharmacy,Complete full course,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Suprax 200,Cefixime,Cefixime,Bacterial infections,Stomach upset; Headache,175.0,Lupin,Take with/without food,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Taxim-O 200,Cefixime,Cefixime,Respiratory/UTI infections,Diarrhea; Rash,145.0,Alkem,Complete full course,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Zifi 200,Cefixime,Cefixime,Bacterial infections,Diarrhea; Nausea,165.0,FDC,Complete full course,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Cefodox 200,Cefpodoxime,Cefpodoxime,ENT/Respiratory infections,Nausea; Abdominal pain,210.0,Lupin,Maintain hydration,200 mg,Tablet,False,H1,adult,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefodox Dry Syrup,Cefpodoxime,Cefpodoxime,Bacterial infections (pediatric),Diarrhea; Abdominal pain,155.0,Generic,Give with food,50 mg/5 ml,Suspension,False,H1,pediatric,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefoprox 200,Cefpodoxime,Cefpodoxime,Respiratory infections,Diarrhea; Flatulence,190.0,Cipla,Take with food,200 mg,Tablet,False,H1,adult,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefoprox Suspension,Cefpodoxime,Cefpodoxime,Bacterial infections (pediatric),Diarrhea; Abdominal pain,155.0,Generic,Give with food,50 mg/5 ml,Suspension,False,H1,pediatric,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefpod DS,Cefpodoxime,Cefpodoxime,Bacterial infections (pediatric),Diarrhea; Abdominal pain,155.0,Generic,Give with food,50 mg/5 ml,Suspension,False,H1,pediatric,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Generic Cefpodoxime,Cefpodoxime,Cefpodoxime,Respiratory infections,Diarrhea; Flatulence,150.0,Generic Manufacturer,Take with food,200 mg,Tablet,False,H1,adult,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Local Pharmacy Cefpodoxime,Cefpodoxime,Cefpodoxime,Respiratory infections,Diarrhea; Flatulence,130.0,Local Pharmacy,Take with food,200 mg,Tablet,False,H1,adult,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Ceftum 500,Cefuroxime,Cefuroxime,Respiratory infections,Diarrhea; Nausea,250.0,GlaxoSmithKline,Take after meals if nauseous,500 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Cefuroxime,Cefuroxime,Cefuroxime,Respiratory infections,Diarrhea; Nausea,193.12,Generic Manufacturer,Take after meals if nauseous,500 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Cefuroxime,Cefuroxime,Cefuroxime,Respiratory infections,Diarrhea; Nausea,167.38,Local Pharmacy,Take after meals if nauseous,500 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zinnat 500,Cefuroxime,Cefuroxime,Sinusitis; Pneumonia,Stomach pain; Rash,265.0,Abbott,Complete course,500 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Cetirizine 10,Cetirizine,Cetirizine,Allergies and hay fever,Drowsiness; Dry mouth,15.0,Generic,Non-drowsy for most people,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Cetrine 10,Cetirizine,Cetirizine,Allergies and hay fever,Minimal drowsiness,18.0,Cipla,Safe for long-term use,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Generic Cetirizine,Cetirizine,Cetirizine,Allergies and hay fever,Drowsiness; Dry mouth,13.5,Generic Manufacturer,Non-drowsy for most people,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Local Pharmacy Cetirizine,Cetirizine,Cetirizine,Allergies and hay fever,Drowsiness; Dry mouth,11.7,Local Pharmacy,Non-drowsy for most people,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Zyrtec 10,Cetirizine,Cetirizine,Allergies and hay fever,Fatigue; Headache,45.0,GlaxoSmithKline,Once daily dosing,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Generic Cholecalciferol,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Rare at recommended doses,39.0,Generic Manufacturer,Weekly or monthly dose,"60,000 IU",Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Cholecalciferol,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Rare at recommended doses,33.8,Local Pharmacy,Weekly or monthly dose,"60,000 IU",Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Uprise D3,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Constipation (rare),52.0,Alkem Laboratories,Take with fatty meal,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Uprise D3 60K,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Rare side effects,78.0,Alkem,Once weekly dose,"60,000 IU",Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Vitamin D3 60K,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Rare at recommended doses,45.0,Generic,Weekly or monthly dose,"60,000 IU",Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Choline Salicylate + Lignocaine,Choline Salicylate + Lignocaine,Choline Salicylate + Lignocaine,Mouth ulcers pain relief,Local irritation (rare),51.0,Generic Manufacturer,Apply after meals,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Choline Salicylate + Lignocaine,Choline Salicylate + Lignocaine,Choline Salicylate + Lignocaine,Mouth ulcers pain relief,Local irritation (rare),44.2,Local Pharmacy,Apply after meals,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zytee RB,Choline Salicylate + Lignocaine,Choline Salicylate + Lignocaine,Mouth ulcers pain relief,Local irritation (rare),68.0,Raptakos Brett,Apply after meals,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Cifran 500,Ciprofloxacin,Ciprofloxacin,Bacterial infections,Stomach upset; Headache,52.0,Sun Pharmaceutical,Stay hydrated,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Ciprofloxacin 500,Ciprofloxacin,Ciprofloxacin,Bacterial infections,Nausea; Dizziness; Tendon problems,45.0,Generic,Avoid dairy products,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Generic Ciprofloxacin,Ciprofloxacin,Ciprofloxacin,Bacterial infections,Nausea; Dizziness; Tendon problems,36.38,Generic Manufacturer,Avoid dairy products,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Local Pharmacy Ciprofloxacin,Ciprofloxacin,Ciprofloxacin,Bacterial infections,Nausea; Dizziness; Tendon problems,31.53,Local Pharmacy,Avoid dairy products,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Generic Clobetasol,Clobetasol,Clobetasol,Severe skin inflammation,Skin thinning; Irritation,63.75,Generic Manufacturer,Short-term use only,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Clobetasol,Clobetasol,Clobetasol,Severe skin inflammation,Skin thinning; Irritation,55.25,Local Pharmacy,Short-term use only,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Tenovate Cream,Clobetasol,Clobetasol,Severe skin inflammation,Skin thinning; Irritation,85.0,GlaxoSmithKline,Short-term use only,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clonazepam 0.5,Clonazepam,Clonazepam,Seizures and anxiety,Drowsiness; Dizziness,18.0,Generic,May cause dependence,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Clonazepam,Clonazepam,Clonazepam,Seizures and anxiety,Drowsiness; Dizziness,19.88,Generic Manufacturer,May cause dependence,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Clonazepam,Clonazepam,Clonazepam,Seizures and anxiety,Drowsiness; Dizziness,17.23,Local Pharmacy,May cause dependence,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Rivotril 0.5,Clonazepam,Clonazepam,Seizures and anxiety,Memory impairment; Fatigue,35.0,Roche,Gradual dose reduction needed,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clopidogrel 75,Clopidogrel,Clopidogrel,Blood clot prevention,Bleeding; Bruising,28.0,Generic,Report unusual bleeding,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Deplatt 75,Clopidogrel,Clopidogrel,Blood clot prevention,Nosebleeds; Rash,32.0,Torrent Pharma,Avoid injuries,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Clopidogrel,Clopidogrel,Clopidogrel,Blood clot prevention,Bleeding; Bruising,24.0,Generic Manufacturer,Report unusual bleeding,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Clopidogrel,Clopidogrel,Clopidogrel,Blood clot prevention,Bleeding; Bruising,20.8,Local Pharmacy,Report unusual bleeding,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Plavix 75,Clopidogrel,Clopidogrel,Blood clot prevention,Stomach pain; Headache,145.0,Sanofi,Do not stop without consulting doctor,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clopilet A 75/75,Clopidogrel + Aspirin,Clopidogrel + Aspirin,Post-stent dual therapy,Bleeding risk; Gastritis,120.0,Sun Pharmaceutical,Use under medical supervision,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Clopidogrel + Aspirin,Clopidogrel + Aspirin,Clopidogrel + Aspirin,Post-stent dual therapy,Bleeding risk; Gastritis,90.0,Generic Manufacturer,Use under medical supervision,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Clopidogrel + Aspirin,Clopidogrel + Aspirin,Clopidogrel + Aspirin,Post-stent dual therapy,Bleeding risk; Gastritis,78.0,Local Pharmacy,Use under medical supervision,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Candid Cream,Clotrimazole,Clotrimazole,Fungal infections,Redness; Itching (initial),45.0,Glenmark,Complete full course,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clotrimazole Cream,Clotrimazole,Clotrimazole,Fungal infections,Skin irritation; Burning,38.0,Generic,Apply twice daily,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Clotrimazole,Clotrimazole,Clotrimazole,Fungal infections,Skin irritation; Burning,31.12,Generic Manufacturer,Apply twice daily,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Clotrimazole,Clotrimazole,Clotrimazole,Fungal infections,Skin irritation; Burning,26.98,Local Pharmacy,Apply twice daily,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Forxiga 10,Dapagliflozin,Dapagliflozin,Type 2 Diabetes,UTI; Increased urination,450.0,AstraZeneca,Maintain hydration,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Generic Dapagliflozin,Dapagliflozin,Dapagliflozin,Type 2 Diabetes,UTI; Increased urination,337.5,Generic Manufacturer,Maintain hydration,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Local Pharmacy Dapagliflozin,Dapagliflozin,Dapagliflozin,Type 2 Diabetes,UTI; Increased urination,292.5,Local Pharmacy,Maintain hydration,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Ascoril LS,Dextromethorphan + Levosalbutamol + Ambroxol,Dextromethorphan combo,Wet cough with spasm,Restlessness; Nausea,110.0,Glenmark,Shake well before use,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Dextromethorphan + Levosalbutamol + Ambroxol,Dextromethorphan + Levosalbutamol + Ambroxol,Dextromethorphan combo,Wet cough with spasm,Restlessness; Nausea,82.5,Generic Manufacturer,Shake well before use,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Dextromethorphan + Levosalbutamol + Ambroxol,Dextromethorphan + Levosalbutamol + Ambroxol,Dextromethorphan combo,Wet cough with spasm,Restlessness; Nausea,71.5,Local Pharmacy,Shake well before use,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Dextromethorphan + Phenylephrine + CPM,Dextromethorphan + Phenylephrine + CPM,Dextromethorphan combo,Dry cough relief,Drowsiness; Palpitations,73.5,Generic Manufacturer,Avoid in hypertension,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Dextromethorphan + Phenylephrine + CPM,Dextromethorphan + Phenylephrine + CPM,Dextromethorphan combo,Dry cough relief,Drowsiness; Palpitations,63.7,Local Pharmacy,Avoid in hypertension,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
TusQ-Dx,Dextromethorphan + Phenylephrine + CPM,Dextromethorphan combo,Dry cough relief,Drowsiness; Palpitations,98.0,Blue Cross,Avoid in hypertension,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Dicloran 50,Diclofenac,Diclofenac,Pain and inflammation,Nausea; Dizziness,28.0,Ipca,Use lowest effective dose,50 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Generic Diclofenac,Diclofenac,Diclofenac,Pain relief and inflammation,Stomach upset; Heartburn; Edema,22.5,Generic Manufacturer,Take with food; Avoid in ulcers,50 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Local Pharmacy Diclofenac,Diclofenac,Diclofenac,Pain relief and inflammation,Stomach upset; Heartburn; Edema,19.5,Local Pharmacy,Take with food; Avoid in ulcers,50 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Voveran 50,Diclofenac,Diclofenac,Pain relief and inflammation,Stomach upset; Heartburn; Edema,32.0,Novartis,Take with food; Avoid in ulcers,50 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Cyclopam,Dicyclomine + Paracetamol,Dicyclomine + Paracetamol,Abdominal cramps; Pain,Dry mouth; Drowsiness,52.0,Indoco,Do not exceed dose,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Dicyclomine + Paracetamol,Dicyclomine + Paracetamol,Dicyclomine + Paracetamol,Abdominal cramps; Pain,Dry mouth; Drowsiness,39.0,Generic Manufacturer,Do not exceed dose,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Dicyclomine + Paracetamol,Dicyclomine + Paracetamol,Dicyclomine + Paracetamol,Abdominal cramps; Pain,Dry mouth; Drowsiness,33.8,Local Pharmacy,Do not exceed dose,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Benadryl Cough Syrup,Diphenhydramine + Ammonium Chloride + Sodium Citrate,Diphenhydramine combo,Dry cough relief,Drowsiness; Dry mouth,95.0,Johnson & Johnson,Avoid driving after dose,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Diphenhydramine + Ammonium Chloride + Sodium Citrate,Diphenhydramine + Ammonium Chloride + Sodium Citrate,Diphenhydramine combo,Dry cough relief,Drowsiness; Dry mouth,71.25,Generic Manufacturer,Avoid driving after dose,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Diphenhydramine + Ammonium Chloride + Sodium Citrate,Diphenhydramine + Ammonium Chloride + Sodium Citrate,Diphenhydramine combo,Dry cough relief,Drowsiness; Dry mouth,61.75,Local Pharmacy,Avoid driving after dose,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Domstal 10,Domperidone,Domperidone,Nausea; Gastroparesis,Dry mouth; Dizziness,35.0,Torrent,Avoid in heart rhythm disorders,10 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Domperidone,Domperidone,Domperidone,Nausea; Gastroparesis,Dry mouth; Dizziness,26.25,Generic Manufacturer,Avoid in heart rhythm disorders,10 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Domperidone,Domperidone,Domperidone,Nausea; Gastroparesis,Dry mouth; Dizziness,22.75,Local Pharmacy,Avoid in heart rhythm disorders,10 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Doxt 100,Doxycycline,Doxycycline,Acne; Bacterial infections,Nausea; Sun sensitivity,58.0,Dr. Reddy's Laboratories,Take with water sitting up,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Doxy-1 100,Doxycycline,Doxycycline,Bacterial infections,Photosensitivity; Stomach upset,62.0,Cipla,Avoid dairy/antacids,1 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Doxycycline,Doxycycline,Doxycycline,Bacterial infections,Photosensitivity; Stomach upset,45.0,Generic Manufacturer,Avoid dairy/antacids,1 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Doxycycline,Doxycycline,Doxycycline,Bacterial infections,Photosensitivity; Stomach upset,39.0,Local Pharmacy,Avoid dairy/antacids,1 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Drotin,Drotaverine,Drotaverine,Abdominal spasm relief,Nausea; Headache,40.0,Abbott,Consult doctor in pregnancy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Drotaverine,Drotaverine,Drotaverine,Abdominal spasm relief,Nausea; Headache,30.0,Generic Manufacturer,Consult doctor in pregnancy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Drotaverine,Drotaverine,Drotaverine,Abdominal spasm relief,Nausea; Headache,26.0,Local Pharmacy,Consult doctor in pregnancy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Duzela 30,Duloxetine,Duloxetine,Neuropathic pain; Depression,Nausea; Dry mouth,165.0,Sun Pharmaceutical,Do not stop abruptly,30 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Generic Duloxetine,Duloxetine,Duloxetine,Neuropathic pain; Depression,Nausea; Dry mouth,123.75,Generic Manufacturer,Do not stop abruptly,30 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Local Pharmacy Duloxetine,Duloxetine,Duloxetine,Neuropathic pain; Depression,Nausea; Dry mouth,107.25,Local Pharmacy,Do not stop abruptly,30 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Avodart 0.5,Dutasteride,Dutasteride,BPH management,Decreased libido; Dizziness,225.0,GlaxoSmithKline,Not for use in women/children,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Dutasteride,Dutasteride,Dutasteride,BPH management,Decreased libido; Dizziness,168.75,Generic Manufacturer,Not for use in women/children,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Dutasteride,Dutasteride,Dutasteride,BPH management,Decreased libido; Dizziness,146.25,Local Pharmacy,Not for use in women/children,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Empagliflozin,Empagliflozin,Empagliflozin,Type 2 Diabetes,Genital infections; Thirst,390.0,Generic Manufacturer,Monitor kidneys,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Jardiance 10,Empagliflozin,Empagliflozin,Type 2 Diabetes,Genital infections; Thirst,520.0,Boehringer Ingelheim,Monitor kidneys,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Local Pharmacy Empagliflozin,Empagliflozin,Empagliflozin,Type 2 Diabetes,Genital infections; Thirst,338.0,Local Pharmacy,Monitor kidneys,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Enam 5,Enalapril,Enalapril,Hypertension and heart failure,Cough; Dizziness,42.0,Dr. Reddy's Laboratories,Avoid in pregnancy,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Enalapril,Enalapril,Enalapril,Hypertension and heart failure,Cough; Dizziness,31.5,Generic Manufacturer,Avoid in pregnancy,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Enalapril,Enalapril,Enalapril,Hypertension and heart failure,Cough; Dizziness,27.3,Local Pharmacy,Avoid in pregnancy,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Escitalopram 10,Escitalopram,Escitalopram,Depression and anxiety,Nausea; Fatigue; Sexual dysfunction,55.0,Generic,Morning or evening dose,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Generic Escitalopram,Escitalopram,Escitalopram,Depression and anxiety,Nausea; Fatigue; Sexual dysfunction,46.5,Generic Manufacturer,Morning or evening dose,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Lexapro 10,Escitalopram,Escitalopram,Depression and anxiety,Dizziness; Dry mouth,125.0,Lundbeck,Avoid alcohol,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Local Pharmacy Escitalopram,Escitalopram,Escitalopram,Depression and anxiety,Nausea; Fatigue; Sexual dysfunction,40.3,Local Pharmacy,Morning or evening dose,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Nexito 10,Escitalopram,Escitalopram,Depression and anxiety,Sweating; Sleep disturbances,62.0,Sun Pharmaceutical,Takes weeks to show effect,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Generic Esomeprazole,Esomeprazole,Esomeprazole,GERD and ulcers,Headache; Constipation,48.75,Generic Manufacturer,Take 30 mins before meals,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
